transaction_id,user_id,merchant_id,amount,timestamp,location,payment_method,device_id,is_fraud,hour,user_txn_count,user_avg_amt,amt_deviation,device_usage,txn_per_hour,location_change
0,U287,M61,938.54,2024-01-01 00:00:00,Bangalore,Wallet,D701,0,0,23,2805.9630434782607,-1867.4230434782608,17,2,0
1,U240,M24,6020.24,2024-01-01 00:01:00,Mumbai,NetBanking,D711,0,0,18,2282.26,3737.9799999999996,14,1,0
2,U102,M5,2633.49,2024-01-01 00:02:00,Mumbai,Wallet,D515,0,0,23,1890.395652173913,743.0943478260867,17,3,0
3,U78,M16,1825.89,2024-01-01 00:03:00,Mumbai,Wallet,D628,0,0,24,1720.7520833333335,105.13791666666657,19,3,0
4,U275,M93,339.25,2024-01-01 00:04:00,Delhi,Card,D106,0,0,15,1650.4793333333332,-1311.2293333333332,10,1,0
5,U338,M40,339.19,2024-01-01 00:05:00,Kolkata,NetBanking,D546,0,0,23,2404.394347826087,-2065.204347826087,10,1,0
6,U15,M71,119.68,2024-01-01 00:06:00,Chennai,Wallet,D712,0,0,21,1797.2985714285712,-1677.6185714285712,12,1,0
7,U388,M89,4022.46,2024-01-01 00:07:00,Chennai,NetBanking,D133,0,0,18,2527.78,1494.6799999999998,15,1,0
8,U437,M27,1838.16,2024-01-01 00:08:00,Mumbai,UPI,D623,0,0,22,2252.898181818182,-414.73818181818183,16,1,0
9,U129,M57,2462.5,2024-01-01 00:09:00,Delhi,UPI,D604,0,0,18,1916.908888888889,545.5911111111111,15,1,0
10,U450,M24,41.6,2024-01-01 00:10:00,Kolkata,Card,D227,0,0,28,3015.966785714286,-2974.366785714286,14,2,0
11,U434,M15,7007.11,2024-01-01 00:11:00,Delhi,UPI,D143,0,0,15,2138.924666666667,4868.185333333333,10,1,0
12,U369,M20,3572.86,2024-01-01 00:12:00,Bangalore,NetBanking,D454,0,0,23,1776.7852173913043,1796.0747826086958,6,4,0
13,U228,M82,477.38,2024-01-01 00:13:00,Delhi,UPI,D645,0,0,20,1466.635,-989.255,6,1,0
14,U446,M62,401.36,2024-01-01 00:14:00,Delhi,Wallet,D675,0,0,35,1813.4602857142856,-1412.1002857142857,9,2,0
