transaction_id,user_id,merchant_id,amount,timestamp,location,payment_method,device_id,is_fraud
0,U287,M61,938.54,2024-01-01 00:00:00,Bangalore,Wallet,D701,0
1,U240,M24,6020.24,2024-01-01 00:01:00,Mumbai,NetBanking,D711,0
2,U102,M5,2633.49,2024-01-01 00:02:00,Mumbai,Wallet,D515,0
3,U78,M16,1825.89,2024-01-01 00:03:00,Mumbai,Wallet,D628,0
4,U275,M93,339.25,2024-01-01 00:04:00,Delhi,Card,D106,0
5,U338,M40,339.19,2024-01-01 00:05:00,Kolkata,NetBanking,D546,0
6,U15,M71,119.68,2024-01-01 00:06:00,Chennai,Wallet,D712,0
7,U388,M89,4022.46,2024-01-01 00:07:00,Chennai,NetBanking,D133,0
8,U437,M27,1838.16,2024-01-01 00:08:00,Mumbai,UPI,D623,0
9,U129,M57,2462.5,2024-01-01 00:09:00,Delhi,UPI,D604,0
10,U450,M24,41.6,2024-01-01 00:10:00,Kolkata,Card,D227,0
11,U434,M15,7007.11,2024-01-01 00:11:00,Delhi,UPI,D143,0
12,U369,M20,3572.86,2024-01-01 00:12:00,Bangalore,NetBanking,D454,0
13,U228,M82,477.38,2024-01-01 00:13:00,Delhi,UPI,D645,0
14,U446,M62,401.36,2024-01-01 00:14:00,Delhi,Wallet,D675,0
15,U250,M22,405.22,2024-01-01 00:15:00,Delhi,UPI,D452,0
16,U486,M9,725.51,2024-01-01 00:16:00,Bangalore,NetBanking,D477,0
17,U273,M64,1487.86,2024-01-01 00:17:00,Bangalore,Wallet,D276,0
18,U406,M6,1131.07,2024-01-01 00:18:00,Kolkata,Wallet,D422,0
19,U115,M83,688.45,2024-01-01 00:19:00,Chennai,Wallet,D643,0
20,U378,M66,1892.74,2024-01-01 00:20:00,Mumbai,NetBanking,D711,0
21,U308,M25,300.47,2024-01-01 00:21:00,Chennai,NetBanking,D302,0
22,U179,M52,691.03,2024-01-01 00:22:00,Mumbai,NetBanking,D349,0
23,U396,M78,912.55,2024-01-01 00:23:00,Mumbai,UPI,D40,0
24,U260,M57,1217.87,2024-01-01 00:24:00,Delhi,NetBanking,D548,0
25,U460,M65,3075.87,2024-01-01 00:25:00,Mumbai,NetBanking,D226,0
26,U84,M89,4900.17,2024-01-01 00:26:00,Chennai,Card,D2,1
27,U42,M96,1444.06,2024-01-01 00:27:00,Bangalore,NetBanking,D243,0
28,U102,M28,1795.01,2024-01-01 00:28:00,Mumbai,NetBanking,D120,0
29,U322,M73,95.13,2024-01-01 00:29:00,Bangalore,UPI,D316,0
30,U411,M7,1870.67,2024-01-01 00:30:00,Chennai,Card,D504,0
31,U47,M86,373.92,2024-01-01 00:31:00,Bangalore,Card,D354,0
32,U456,M59,134.53,2024-01-01 00:32:00,Kolkata,NetBanking,D616,0
33,U436,M70,5947.38,2024-01-01 00:33:00,Mumbai,Card,D674,0
34,U41,M42,53930.08,2024-01-01 00:34:00,Bangalore,Wallet,D32,1
35,U157,M7,3304.66,2024-01-01 00:35:00,Kolkata,Card,D226,0
36,U171,M94,726.58,2024-01-01 00:36:00,Mumbai,Card,D668,0
37,U113,M1,205.55,2024-01-01 00:37:00,Bangalore,Card,D630,0
38,U181,M43,2305.5,2024-01-01 00:38:00,Delhi,Card,D455,0
39,U205,M82,1160.18,2024-01-01 00:39:00,Bangalore,Card,D425,0
40,U205,M16,260.3,2024-01-01 00:40:00,Bangalore,Card,D690,0
41,U370,M78,1367.09,2024-01-01 00:41:00,Mumbai,NetBanking,D584,0
42,U21,M0,69.99,2024-01-01 00:42:00,Delhi,UPI,D180,0
43,U319,M70,4800.85,2024-01-01 00:43:00,Kolkata,Wallet,D370,0
44,U463,M35,598.92,2024-01-01 00:44:00,Mumbai,Card,D235,0
45,U311,M66,2172.51,2024-01-01 00:45:00,Bangalore,NetBanking,D382,0
46,U183,M48,747.09,2024-01-01 00:46:00,Bangalore,Wallet,D735,0
47,U433,M13,1468.22,2024-01-01 00:47:00,Bangalore,NetBanking,D31,0
48,U66,M25,1582.45,2024-01-01 00:48:00,Bangalore,UPI,D365,0
49,U498,M80,408.78,2024-01-01 00:49:00,Bangalore,Wallet,D402,0
50,U455,M40,6985.61,2024-01-01 00:50:00,Chennai,UPI,D429,0
51,U297,M14,2984.49,2024-01-01 00:51:00,Chennai,NetBanking,D350,0
52,U397,M94,5610.19,2024-01-01 00:52:00,Bangalore,NetBanking,D730,0
53,U299,M60,4504.3,2024-01-01 00:53:00,Bangalore,Card,D139,0
54,U396,M28,1822.11,2024-01-01 00:54:00,Mumbai,NetBanking,D265,0
55,U58,M84,5098.87,2024-01-01 00:55:00,Chennai,Card,D521,0
56,U482,M22,185.31,2024-01-01 00:56:00,Delhi,Wallet,D492,0
57,U213,M36,436.27,2024-01-01 00:57:00,Bangalore,UPI,D486,0
58,U79,M68,740.48,2024-01-01 00:58:00,Kolkata,Card,D30,1
59,U133,M15,787.06,2024-01-01 00:59:00,Bangalore,Wallet,D620,0
60,U1,M30,984.26,2024-01-01 01:00:00,Mumbai,NetBanking,D242,0
61,U172,M6,633.12,2024-01-01 01:01:00,Chennai,Card,D294,0
62,U13,M29,3529.12,2024-01-01 01:02:00,Mumbai,Card,D686,0
63,U224,M87,882.45,2024-01-01 01:03:00,Bangalore,NetBanking,D407,0
64,U437,M90,659.61,2024-01-01 01:04:00,Mumbai,UPI,D785,0
65,U260,M73,1564.81,2024-01-01 01:05:00,Delhi,Wallet,D292,0
66,U344,M17,303.8,2024-01-01 01:06:00,Bangalore,Card,D596,0
67,U33,M51,3240.97,2024-01-01 01:07:00,Bangalore,NetBanking,D20,0
68,U115,M69,154.95,2024-01-01 01:08:00,Chennai,NetBanking,D616,0
69,U243,M21,8668.29,2024-01-01 01:09:00,Bangalore,Wallet,D293,0
70,U95,M52,2958.97,2024-01-01 01:10:00,Delhi,NetBanking,D389,0
71,U410,M56,443.08,2024-01-01 01:11:00,Mumbai,Wallet,D244,0
72,U333,M81,11.07,2024-01-01 01:12:00,Mumbai,UPI,D548,0
73,U499,M30,3379.79,2024-01-01 01:13:00,Bangalore,NetBanking,D377,0
74,U426,M51,2454.19,2024-01-01 01:14:00,Kolkata,UPI,D466,0
75,U487,M75,2611.33,2024-01-01 01:15:00,Mumbai,UPI,D511,0
76,U189,M39,2950.43,2024-01-01 01:16:00,Bangalore,Wallet,D195,0
77,U59,M67,153.86,2024-01-01 01:17:00,Kolkata,Card,D181,0
78,U244,M67,887.79,2024-01-01 01:18:00,Mumbai,Wallet,D209,0
79,U211,M50,246.3,2024-01-01 01:19:00,Mumbai,Wallet,D722,0
80,U361,M71,3977.06,2024-01-01 01:20:00,Kolkata,UPI,D436,0
81,U240,M69,1952.6,2024-01-01 01:21:00,Mumbai,NetBanking,D537,0
82,U262,M74,803.64,2024-01-01 01:22:00,Delhi,Wallet,D639,0
83,U301,M62,131.34,2024-01-01 01:23:00,Chennai,NetBanking,D420,0
84,U382,M10,744.98,2024-01-01 01:24:00,Delhi,Card,D749,0
85,U329,M38,786.63,2024-01-01 01:25:00,Kolkata,NetBanking,D532,0
86,U449,M16,2615.75,2024-01-01 01:26:00,Chennai,Card,D386,0
87,U233,M7,2029.78,2024-01-01 01:27:00,Delhi,UPI,D620,0
88,U116,M66,4364.5,2024-01-01 01:28:00,Mumbai,Wallet,D488,0
89,U36,M17,1278.13,2024-01-01 01:29:00,Chennai,NetBanking,D240,0
90,U127,M78,254.74,2024-01-01 01:30:00,Mumbai,Wallet,D327,0
91,U451,M76,2498.25,2024-01-01 01:31:00,Delhi,NetBanking,D270,0
